title,body,acceptance_criteria,story_points,priority,labels
"Anonymous Posting Toggle","As a student, I want to post anonymously so that I can share honest thoughts without revealing my identity.","Given I’m creating a post, when I enable Anonymous, then my username will not appear publicly; Given I post anonymously, when others view it, then it displays Anonymous; Given I view my own profile, when I check my posts, then I can still see my anonymous posts privately.",5,High,user story
"Post Creation Form","As a poster, I want a simple post creation form so that I can quickly share my message on the forum.","Given I am logged in, when I click New Post, then I should see title, content, and tag fields; Given I fill out valid data, when I submit, then the post appears immediately on the board; Given I leave required fields empty, when I try to submit, then I receive an error message.",3,High,user story
"User Authentication","As a user, I want to sign up or log in so that I can securely create posts and upvote others.","Given I have no account, when I register, then I can log in successfully; Given I have an account, when I log in, then I’m redirected to the forum feed; Given I’m logged out, when I try to post, then I’m prompted to log in.",8,High,user story
"Tag Filtering","As a reader, I want to filter posts by tag so that I can find relevant topics faster.","Given I view the post feed, when I select a tag, then only posts with that tag appear; Given I deselect a tag, when I refresh, then all posts reappear; Given no posts match, when I filter, then No results found appears.",5,Medium,user story
"Upvote System","As a reader, I want to upvote posts so that the best content becomes more visible.","Given I’m logged in, when I click the upvote button, then the count increases by one; Given I already upvoted, when I click again, then my vote is removed; Given I refresh the feed, when many users upvote, then I see the total count accurately.",3,High,user story
"Post Detail View","As a reader, I want to view post details so that I can read full content and see associated tags.","Given I click a post title, when I view the page, then I see full content, tags, and timestamp; Given the post is anonymous, when viewed, then it displays Anonymous; Given I navigate back, when I return to feed, then my scroll position is saved.",3,Medium,user story
"Admin Moderation Panel","As an admin, I want to view and remove inappropriate posts so that the forum stays safe.","Given I am an admin, when I view reports, then I can delete or hide posts; Given a post is removed, when users access it, then they see Post removed; Given a report is false, when I review it, then I can dismiss it.",8,High,user story
"Reporting Function","As a user, I want to report inappropriate posts so that admins can take action.","Given I see an offensive post, when I click Report, then it’s sent to admins; Given I submit a report, when done, then I receive confirmation; Given a post is reported, when admin reviews it, then it’s flagged in their panel.",3,Medium,user story
"Trending Feed","As a reader, I want to see trending posts so that I can stay updated on popular campus topics.","Given posts have upvotes, when I view Trending, then top posts appear first; Given new posts gain upvotes, when I refresh, then the list updates; Given no posts have upvotes, when viewed, then it defaults to most recent.",5,Medium,user story
"Search Bar","As a reader, I want to search posts by keyword so that I can find relevant content efficiently.","Given I type a keyword, when I hit enter, then matching posts appear; Given no match exists, when I search, then I see No results; Given I clear the search, when I refresh, then all posts reappear.",3,Low,user story
"Course & Professor Board","As a student, I want a board for course and professor discussions so that I can view and share feedback.","Given I post under this board, when I submit, then it categorizes automatically; Given I filter by Courses, when I browse, then only course-related posts show; Given I view a post, when I click tags, then similar topics appear.",5,Medium,user story
"Campus Life Board","As a student, I want a board for campus life so that I can share lost items and second-hand posts.","Given I select Life, when I post, then it appears under the Life board; Given I browse Life posts, when I click one, then I see item details; Given I mark an item as found, when updated, then it shows as Resolved.",5,Medium,user story
"Comment Feature","As a student, I want to comment on posts so that I can discuss and interact with others.","Given I’m logged in, when I type and submit, then my comment appears; Given I’m not logged in, when I comment, then I’m prompted to log in; Given a comment is deleted, when I refresh, then it no longer shows.",8,Medium,user story
"Responsive Design","As a mobile user, I want the site to adjust layout so that I can browse easily on my phone.","Given I use a mobile device, when I open the site, then text and buttons resize correctly; Given I rotate the screen, when I switch orientation, then layout remains stable; Given I view long posts, when I scroll, then performance remains smooth.",5,Low,user story
"Saveable Tag Filters","As a reader, I want to save my favorite tag filters so that I can revisit topics easily.","Given I filter by tags, when I save it, then it appears under Saved Filters; Given I log out and return, when I log in again, then my filters persist; Given I delete a saved filter, when confirmed, then it’s removed.",8,Low,user story
"User Post History","As a logged-in user, I want to view my previous posts so that I can track my activity.","Given I’m logged in, when I open My Posts, then I see my non-anonymous posts; Given I click a post, when it opens, then I can view or edit it; Given I delete one, when confirmed, then it disappears from the list.",5,Medium,user story
"Sorting Options","As a reader, I want to sort posts by recency or popularity so that I can browse efficiently.","Given I’m viewing posts, when I sort by Newest, then recent posts appear first; Given I sort by Most Upvoted, when applied, then highest-voted posts appear; Given I refresh, when returning, then my last sort option persists.",3,Medium,user story
"Admin Delete Function","As an admin, I want to permanently delete flagged content so that the platform stays healthy.","Given a post is flagged, when I delete it, then it’s removed from all views; Given a deletion occurs, when I check logs, then it records who deleted it; Given I restore accidentally deleted content, when I confirm, then it reappears.",5,High,user story
"Database Setup","As a developer, I want a relational database schema so that posts, tags, and users are stored efficiently.","Given I run migrations, when successful, then tables for users, posts, and tags are created; Given I post, when I refresh, then data persists in the database; Given I delete a post, when confirmed, then it’s removed from the database.",8,High,user story
"Deployment Setup","As a developer, I want to deploy the MVP online so that real users can access it.","Given I push to the main branch, when deployment triggers, then the site updates live; Given deployment fails, when errors occur, then I receive feedback; Given deployment succeeds, when I access the URL, then the site loads properly.",8,Medium,user story
